date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year
2021-08-01,Tamil Nadu,4-Wheelers,88,20865,2022,Q2,8,2021
2021-08-01,Uttar Pradesh,4-Wheelers,3,24012,2022,Q2,8,2021
2021-08-01,Uttarakhand,4-Wheelers,6,3760,2022,Q2,8,2021
2021-08-01,West Bengal,4-Wheelers,28,9198,2022,Q2,8,2021
2021-08-01,Andhra Pradesh,2-Wheelers,666,58473,2022,Q2,8,2021
2021-08-01,Assam,2-Wheelers,26,25097,2022,Q2,8,2021
2021-08-01,Bihar,2-Wheelers,191,54618,2022,Q2,8,2021
2021-08-01,Chandigarh,2-Wheelers,19,1380,2022,Q2,8,2021
2021-08-01,Chhattisgarh,2-Wheelers,238,27491,2022,Q2,8,2021
2021-08-01,DNH and DD,2-Wheelers,2,584,2022,Q2,8,2021
2021-08-01,Delhi,2-Wheelers,995,26069,2022,Q2,8,2021
2021-08-01,Goa,2-Wheelers,22,2316,2022,Q2,8,2021
2021-08-01,Gujarat,2-Wheelers,584,54721,2022,Q2,8,2021
2021-08-01,Haryana,2-Wheelers,441,30342,2022,Q2,8,2021
2021-08-01,Himachal Pradesh,2-Wheelers,32,5430,2022,Q2,8,2021
2021-08-01,Jammu and Kashmir,2-Wheelers,122,9978,2022,Q2,8,2021
2021-08-01,Jharkhand,2-Wheelers,137,26589,2022,Q2,8,2021
2021-08-01,Karnataka,2-Wheelers,3319,79751,2022,Q2,8,2021
2021-08-01,Kerala,2-Wheelers,598,52507,2022,Q2,8,2021
2021-08-01,Madhya Pradesh,2-Wheelers,457,67859,2022,Q2,8,2021
2021-08-01,Maharashtra,2-Wheelers,2419,119076,2022,Q2,8,2021
2021-08-01,Odisha,2-Wheelers,485,33821,2022,Q2,8,2021
2021-08-01,Puducherry,2-Wheelers,34,3496,2022,Q2,8,2021
2021-08-01,Punjab,2-Wheelers,342,27376,2022,Q2,8,2021
2021-08-01,Rajasthan,2-Wheelers,1451,57021,2022,Q2,8,2021
2021-08-01,Tamil Nadu,2-Wheelers,2745,109440,2022,Q2,8,2021
2021-08-01,Uttar Pradesh,2-Wheelers,531,146734,2022,Q2,8,2021
2021-08-01,Uttarakhand,2-Wheelers,114,11192,2022,Q2,8,2021
2021-08-01,West Bengal,2-Wheelers,80,63613,2022,Q2,8,2021
2021-09-01,Sikkim,2-Wheelers,0,540,2022,Q2,9,2021
2021-09-01,Sikkim,4-Wheelers,0,355,2022,Q2,9,2021
2021-09-01,Andaman & Nicobar Island,2-Wheelers,0,329,2022,Q2,9,2021
2021-09-01,Andaman & Nicobar Island,4-Wheelers,0,87,2022,Q2,9,2021
2021-09-01,Arunachal Pradesh,2-Wheelers,0,1260,2022,Q2,9,2021
2021-09-01,Arunachal Pradesh,4-Wheelers,0,637,2022,Q2,9,2021
2021-09-01,Assam,4-Wheelers,0,6036,2022,Q2,9,2021
2021-09-01,DNH and DD,4-Wheelers,0,348,2022,Q2,9,2021
2021-09-01,Ladakh,2-Wheelers,0,26,2022,Q2,9,2021
2021-09-01,Ladakh,4-Wheelers,0,444,2022,Q2,9,2021
2021-09-01,Manipur,2-Wheelers,0,3492,2022,Q2,9,2021
2021-09-01,Manipur,4-Wheelers,0,1202,2022,Q2,9,2021
2021-09-01,Meghalaya,2-Wheelers,0,1396,2022,Q2,9,2021
